,Unnamed: 0,latitud,longitud,titulo,tipo_propiedad,precio,moneda,m2,ambientes
409,409,-34.620007,-58.364788,Alquilerdepartamento 2 Amb Puerto Madero,Apartamento,45000.0,COP,43.0,2.0
410,410,-34.578663,-58.4284,2 Amb Totalmente Equipado! Humboldt 2400 - Palermo Hollywood,Apartamento,26900.0,COP,42.0,2.0
411,411,-34.59111,-58.397934,Azcuenaga 1500 - Recoleta - Dos Ambientes Super Luminoso,Apartamento,31990.0,COP,59.0,2.0
412,412,-35.025864,-58.431374,Hermoso Departamento En Belgrano,Apartamento,1300.0,COP,45.0,1.0
413,413,-34.574524,-58.472927,Alquiler Monoambiente Greehaus,Apartamento,29000.0,COP,32.0,1.0
414,414,-34.608585,-58.389317,Alquiler Temporario. Monoambiente Amoblado.todo Incluido,Apartamento,23000.0,COP,28.0,1.0
415,415,-34.615982,-58.454693,Semipiso A Metros De Plaza Irlanda,Apartamento,66000.0,COP,120.0,3.0
416,416,-34.617718,-58.362057,Dos Exc.dpto Vista A Dique P/exigentes Estilo Faena 2 Amb,Apartamento,1200.0,USD,75.0,2.0
417,417,-34.617718,-58.362057,Dos Exc.dpto Vista A Dique P/exigentes Estilo Faena 2 Amb,Apartamento,1200.0,USD,75.0,2.0
418,418,-34.577797,-58.43623,Venta Departamento En Petit Hotel Para Renta Palermo H.,Apartamento,79000.0,USD,26.0,1.0
419,419,-34.6364,-58.470093,Alquiler Monoambiente Flores Floresta Tipo Phxescalera Patio,Apartamento,18000.0,COP,40.0,1.0
420,420,-34.603436,-58.413177,Alquiler Amoblado Depto 2 Amb - Almagro,Apartamento,30000.0,COP,35.0,2.0
421,421,-34.55756,-58.45853,Alquiler Depto 3 Amb Dueño Directo A Estrenar !!,Apartamento,59900.0,COP,73.0,3.0
422,422,-34.577686,-58.40293,Alquiler Palacio Alcorta,Apartamento,1000.0,USD,115.0,3.0
423,423,-34.612247,-58.36167,Le Parc 2 Dorm. En Suite - Cochera Y Baulera,Apartamento,185000.0,COP,135.0,3.0
424,424,-34.637646,-58.46643,"Departamento 2 1/2 Ambientes Sin Expensas, Barrio Flores",Apartamento,26000.0,COP,75.0,2.0
425,425,-34.587383,-58.397278,Departamento - Recoleta,Apartamento,15000.0,COP,0.0,1.0
